Hyronymi [!] nostri Potani__nostri
Heinrichum quoque Simlerum__quoque
Melchior ille Hoffman__ille
Thomas ille Aquinas__ille
Benedictus ille Euander__ille
Simoni quoque Grynaeo__quoque
Heinrichus tuus Lutius__tuus
Chasparem illum Schwenckfeldium__illum
Ruͦdolfus ille Fry__ille
Rodolphus ille Phrigius__ille
Eusebium quoque Emesenum__quoque
Claudius ille Sabaudus__ille
Margaritam nostram Blaureriam__nostram
Claudium illum Sabaudum__illum
Iodocus quidam Neobolus__quidam
Robertus quoque Winter__quoque
Georgium quoque Stadler__quoque
Iohannes ille Hensenstein__ille
Wernherum quoque Lithonium__quoque
Georgium quoque Stadlerum__quoque
Gervasius tuus Scolasticus__tuus
Nicolaus tuus Partrigius__tuus
Ioannes item Baptista__item
Heinrycum illum Brunsvicensem__illum
Firmianus ille Lactantius__ille
Firmianus ille Lactantius__ille
Firmianus ille Lactantius__ille
Joanne nostro Burchero__nostro
Philippo nostro Gallicio__nostro
Gervasius tuus Schuler__tuus
Ioanni nostro Traverso__nostro
Albertus ille Hardenbergius__ille
Georgius ille Laetus__ille
Gervasius tuus Schuler__tuus
Gasparum quoque Megandrum__quoque
Iosephus ille Macarius__ille
Hermannum meum Aquilomontanum__meum
Hieronymus quidam Hofman vel Kofman__quidam
Gervasius tuus Scolasticus__tuus
Ioannem ergo illum Hallerum__ergo illum
Mennon quidam Simonis__quidam
Gervasius tuus Schuͦler__tuus
Gervasius tuus Schuler__tuus
Gervasius tuus Schuler__tuus
Ioannes ille Diatius__ille
Alphonsus ille Diazius__ille
Franciscus hic Dryander__hic
Franciscus hic Dryander__hic
Gervasius tuus Scolasticus__tuus
Valentinus ille Bolz__ille
Ruͦdolphi nostri Gvaltheri__nostri
Ruͦdolphi nostri Gvaltheri__nostri
Gervasius tuus Schuͦler__tuus
Bernardinus ille Ochinus__ille
Claudio illo Sabaudo__illo
Rossensis ille Martinus__ille
Rossensis ille Martinus__ille
Conrado item Pellicano__item
Gerhardus noster tom Kampp__noster
Sebastianus noster Guldibecus__noster
Iosua noster Witenbachius__noster
Heinrichus tuus Gassenser__tuus
magister Laurentius noster Agricola__noster
Adamus noster Bartolomeus__noster
Tabellarius iste Chamberus__iste
Gregorius noster Mangoldus__noster
Bartolomei nostri a Salice__nostri
Laelius noster Socinus__noster
Wilhelmus ille Gallus Basiliensis__ille
Georgius noster Carolus__noster
Henricus ille Butlerius__ille
Ioanni illi Ulmaro__illi
Marcus noster Bersius__noster
Samuel noster Telamonius__noster
Leonhardus noster Hospinianus__noster
Marcus noster Bersius__noster
Samuel ille Wittembachius__ille
Camulius ille Nicolaus Genevensis__ille
Martinus ille Micronius__ille
Michael ille Cunerus__ille
Melior tuus Volmarius__tuus
Ioachimus noster Furerius__noster
Samuel noster Telamonius__noster
Lucio nostro Nyero__nostro
Friderici certe a Salicibus__certe
Huldrychus ille Encaustius__ille
Lęlio illi Socino__illi
Cunradus noster Lycosthenes__noster
Samuel noster Telamonius__noster
Ioannes noster Traversus a Salice__noster
Zupparius noster Wieliciensis__noster
Coelius noster Secundus__noster
Fridrichus noster a Salicibus__noster
Samuelem nostrum Telamonium__nostrum
Raphael quidem Paravicinus__quidem
Martino nostro Micronio__nostro
Friderycho nostro a Salice__nostro
Martinus noster Mycronius__noster
Gervasius tuus Schuler__tuus
Baptista ille a Salicibus__ille
