id,forename,surname,gnd,wiki,category
18562,Nebukadnezar II.,,https://d-nb.info/gnd/118586718,https://en.wikipedia.org/wiki/Nebuchadnezzar_II,Biblische Figur
18827,Herkules/Herakles (Sagengestalt),Herkules,https://d-nb.info/gnd/118639552,https://de.wikipedia.org/wiki/Herakles,Figur der griechischen Mythologie
18829,,Skylla,,https://de.wikipedia.org/wiki/Skylla,Figur der griechischen Mythologie
18837,Cornelius,,https://d-nb.info/gnd/1192479599,https://de.wikipedia.org/wiki/Hauptmann_Kornelius,Biblische Figur
18842,Korach,,,https://de.wikipedia.org/wiki/Korach_(biblische_Figur),Biblische Figur
18844,Glaukos,,,https://de.wikipedia.org/wiki/Glaukos_(Meeresgott),Figur der griechischen Mythologie
18847,,Enkelados,,https://de.wikipedia.org/wiki/Enkelados,Figur der griechischen Mythologie
18877,König David (Biblische Person),,https://d-nb.info/gnd/118523929,https://de.wikipedia.org/wiki/David,Biblische Figur
18981,Orestes (Sagengestalt),,https://d-nb.info/gnd/118736558,https://de.wikipedia.org/wiki/Orestes,Figur der griechischen Mythologie
18982,Jona (Prophet),,https://d-nb.info/gnd/118639951,https://de.wikipedia.org/wiki/Jona,Biblische Figur
19558,König Hiskija,,https://d-nb.info/gnd/11863965X,https://de.wikipedia.org/wiki/Hiskija,Biblische Figur
19560,Josia,König von Juda,https://d-nb.info/gnd/118639978,https://de.wikipedia.org/wiki/Joschija,Biblische Figur
19565,König Jehu,,https://d-nb.info/gnd/118849867,https://de.wikipedia.org/wiki/Jehu_(K%C3%B6nig),Biblische Figur
19788,Abimelech,,https://d-nb.info/gnd/121601811,https://de.wikipedia.org/wiki/Abimelech_(K%C3%B6nig_von_Sichem),Biblische Figur
19800,Minotauros,,,https://de.wikipedia.org/wiki/Minotauros,Figur der griechischen Mythologie
19821,"Agag, König der Amelkiter",,,https://de.wikipedia.org/wiki/Agag,Biblische Figur
19833,Ödipus (Sagengestalt),,https://d-nb.info/gnd/118589393,https://de.wikipedia.org/wiki/%C3%96dipus,Figur der griechischen Mythologie
19836,Fortuna,,https://d-nb.info/gnd/118534467,,Figur der römischen Mythologie
19889,Thersites,,https://d-nb.info/gnd/118998749,,Figur der griechischen Mythologie
19891,Mohammed (Muhammad),,https://d-nb.info/gnd/118583158,https://de.wikipedia.org/wiki/Mohammed,Religiöse Figur
19902,Charybdis,,,https://de.wikipedia.org/wiki/Charybdis,Figur der griechischen Mythologie
19977,Timotheus,von Ephesus [Heiliger],https://d-nb.info/gnd/13172424X,https://de.wikipedia.org/wiki/Timotheus_(Bischof),Biblische Figur
19995,Helena (Sagengestalt),,https://d-nb.info/gnd/118548778,,Figur der griechischen Mythologie
20017,Ussa (Biblische Person),,,https://de.wikipedia.org/wiki/Usa_(Bibel),Biblische Figur
20024,Ahab,,https://d-nb.info/gnd/118501127,https://de.wikipedia.org/wiki/Ahab_(K%C3%B6nig),Biblische Figur
20030,Nehemia,,https://d-nb.info/gnd/11873833X,https://de.wikipedia.org/wiki/Nehemia,Biblische Figur
20031,Esra,,https://d-nb.info/gnd/118682415,https://de.wikipedia.org/wiki/Esra_(Person),Biblische Figur
20035,Äneas (Sagengestalt),,https://d-nb.info/gnd/11850083X,https://de.wikipedia.org/wiki/Aeneas,Figur der griechischen Mythologie
20036,Achates (Sagengestalt),,https://d-nb.info/gnd/118840584,https://de.wikipedia.org/wiki/Achates,Figur der römischen Mythologie
20041,,Proteus,https://d-nb.info/gnd/120908565,,Figur der griechischen Mythologie
20043,Sinon (Sagengestalt),,,https://de.wikipedia.org/wiki/Sinon,Figur der griechischen Mythologie
20051,,Vertumnus,https://d-nb.info/gnd/122641205,,Figur der römischen Mythologie
20053,,Nebusaradan,https://d-nb.info/gnd/1147210470,https://de.wikipedia.org/wiki/Nebusaradan,Biblische Figur
20055,Davus (Komödienfigur),,,,Komödienfigur
20064,Laokoon (Sagengestalt),,https://d-nb.info/gnd/118569651,https://de.wikipedia.org/wiki/Laokoon,Figur der römischen Mythologie
20095,,Phaëthon,,https://de.wikipedia.org/wiki/Phaethon_(Mythologie),Figur der griechischen Mythologie
20096,Hippodamea,,,https://de.wikipedia.org/wiki/Hippodameia_(Lapithin),Figur der griechischen Mythologie
20529,Waldenser (Religiöse Gemeinschaft),,,https://de.wikipedia.org/wiki/Waldenser,Religiöse Gemeinschaft
20802,Augustinerorden,,,https://de.wikipedia.org/wiki/Augustinerorden,Religiöse Gemeinschaft
20850,Ben-Hadad II.,,https://d-nb.info/gnd/1171765630,https://de.wikipedia.org/wiki/Ben-Hadad_II.,Biblische Figur
20851,Amalekiter,,,https://de.wikipedia.org/wiki/Amalekiter,Biblische Figur
20919,Franziskanerorden,,,,Religiöse Gemeinschaft
20984,Haggai (Prophet),,https://d-nb.info/gnd/118639447,https://de.wikipedia.org/wiki/Haggai,Biblische Figur
20991,Rhadamanthys,,,https://de.wikipedia.org/wiki/Rhadamanthys,Figur der griechischen Mythologie
20995,Oinomaos,,,https://de.wikipedia.org/wiki/Oinomaos_(K%C3%B6nig_von_Pisa),Figur der griechischen Mythologie
20996,Pelops,,,https://de.wikipedia.org/wiki/Pelops,Figur der griechischen Mythologie
21034,Harpokrates,,https://d-nb.info/gnd/131971026,,Religiöse Figur
21037,Bileam (Prophet),,https://d-nb.info/gnd/11866316X,https://de.wikipedia.org/wiki/Bileam,Biblische Figur
21049,Paian,,https://d-nb.info/gnd/1202732666,,Figur der griechischen Mythologie
21050,Apollon,,https://d-nb.info/gnd/118503642,,Figur der griechischen Mythologie
21073,Praemonstratenser (Orden),,,https://de.wikipedia.org/wiki/Pr%C3%A4monstratenser,Religiöse Gemeinschaft
21095,Zippora,,,https://de.wikipedia.org/wiki/Zippora,Biblische Figur
21098,Gordios,,,https://de.wikipedia.org/wiki/Gordios,Figur der griechischen Mythologie
21112,Pallas/Athene (Göttin),,https://d-nb.info/gnd/118504851,,Figur der griechischen Mythologie
21113,Pluton (Gott der Unterwelt),,https://d-nb.info/gnd/1336159596,https://de.wikipedia.org/wiki/Pluton,Figur der römischen Mythologie
21151,Johannes der Täufer (Prophet),,https://d-nb.info/gnd/118557858,https://de.wikipedia.org/wiki/Johannes_der_T%C3%A4ufer,Biblische Figur
21160,Harpyien (Sagengestalt),,https://d-nb.info/gnd/118884778,https://de.wikipedia.org/wiki/Harpyie_(Mythologie),Figur der griechischen Mythologie
21166,Erinnyen (Göttin),,https://d-nb.info/gnd/118685163,https://de.wikipedia.org/wiki/Erinnyen,Figur der griechischen Mythologie
21235,Aktäon,,https://d-nb.info/gnd/118647504,https://de.wikipedia.org/wiki/Aktaion,Figur der griechischen Mythologie
