id,has_facsimile,edited,provisional_transcription,automatic_transcription,type
1,True,False,True,False,Brief
2,True,False,True,False,Beilage
3,False,True,False,False,Widmungsvorrede
4,False,True,False,False,Brief
5,False,True,False,False,Brief
6,True,True,False,False,Brief
7,True,True,False,False,Brief
8,True,True,False,False,Brief
9,True,True,False,False,Brief
10,True,True,False,False,Brief
11,False,True,False,False,Brief
12,True,True,False,False,Brief
13,True,False,True,False,Beilage
14,True,True,False,False,Brief
15,True,True,False,False,Brief
16,True,True,False,False,Brief
17,True,True,False,False,Brief
18,True,True,False,False,Brief
19,True,True,False,False,Brief
20,True,True,False,False,Brief
21,True,True,False,False,Brief
22,True,True,False,False,Brief
23,True,True,False,False,Brief
24,True,True,False,False,Brief
25,True,True,False,False,Brief
26,True,True,False,False,Brief
27,True,True,False,False,Brief
28,True,True,False,False,Brief
29,True,True,False,False,Brief
30,True,True,False,False,Brief
31,True,True,False,False,Brief
32,True,True,False,False,Brief
33,True,True,False,False,Brief
34,False,True,False,False,Widmung
35,True,True,False,False,Brief
36,False,False,False,False,Verweis
37,True,True,False,False,Brief
38,True,True,False,False,Brief
39,True,True,False,False,Brief
40,True,True,False,False,Brief
41,False,False,False,False,Verweis
42,True,True,False,False,Brief
43,True,True,False,False,Brief
44,True,True,False,False,Brief
45,True,True,False,False,Brief
46,True,True,False,False,Brief
47,True,True,False,False,Brief
48,True,True,False,False,Brief
49,True,True,False,False,Brief
50,True,True,False,False,Brief
51,True,True,False,False,Brief
52,True,True,False,False,Brief
53,True,True,False,False,Brief
54,True,True,False,False,Brief
55,True,True,False,False,Brief
56,False,False,False,False,Verweis
57,True,True,False,False,Brief
58,True,True,False,False,Brief
59,True,True,False,False,Brief
60,True,True,False,False,Brief
61,True,True,False,False,Brief
62,True,True,False,False,Brief
63,True,True,False,False,Brief
64,True,False,True,False,Brief
65,True,True,False,False,Brief
66,True,True,False,False,Brief
67,True,True,False,False,Brief
68,True,True,False,False,Brief
69,True,True,False,False,Brief
70,True,True,False,False,Brief
71,True,True,False,False,Brief
72,True,True,False,False,Brief
73,True,True,False,False,Brief
74,True,True,False,False,Brief
75,True,True,False,False,Brief
76,True,True,False,False,Brief
77,True,True,False,False,Brief
78,True,True,False,False,Brief
79,True,True,False,False,Brief
80,True,True,False,False,Brief
81,False,True,False,False,Hinweis
82,True,True,False,False,Brief
83,True,False,True,False,Brief
84,True,True,False,False,Brief
85,False,False,False,False,Hinweis
86,True,True,False,False,Brief
87,True,True,False,False,Brief
88,True,True,False,False,Brief
89,True,True,False,False,Brief
90,True,True,False,False,Brief
91,True,True,False,False,Brief
92,True,True,False,False,Brief
93,True,True,False,False,Brief
94,True,True,False,False,Brief
95,True,True,False,False,Brief
96,True,True,False,False,Brief
97,True,True,False,False,Brief
98,True,True,False,False,Brief
99,True,True,False,False,Brief
100,True,True,False,False,Brief
101,True,True,False,False,Brief
102,True,True,False,False,Brief
103,True,True,False,False,Beilage
104,True,True,False,False,Brief
105,True,True,False,False,Brief
106,False,False,False,False,Verweis
107,False,False,False,False,Brief
108,True,False,True,False,Brief
109,True,False,True,False,Brief
110,True,False,True,False,Brief
111,True,False,True,False,Beilage
112,True,False,True,False,Brief
113,True,False,True,False,Briefschluss
114,True,False,True,False,Brief
115,True,False,True,False,Brief
116,True,False,True,False,Brief
117,True,False,True,False,Brief
118,True,False,True,False,Brief
119,True,False,True,False,Brief
120,True,False,True,False,Brief
121,True,False,True,False,Brief
122,True,False,True,False,Brief
123,True,False,True,False,Brief
124,True,False,True,False,Brief
125,True,False,True,False,Brief
126,True,False,True,False,Brief
127,True,False,True,False,Brief
128,False,False,False,False,Verweis
129,True,False,True,False,Brief
130,True,False,True,False,Brief
131,True,False,True,False,Brief
132,True,False,True,False,Brief
133,True,False,True,False,Beilage
134,True,False,True,False,Brief
135,True,False,True,False,Brief
136,True,False,True,False,Brief
137,True,False,True,False,Brief
138,True,False,True,False,Brief
139,True,False,True,False,Brief
140,True,False,True,False,Brief
141,True,False,True,False,Brief
142,True,False,True,False,Brief
143,True,False,True,False,Brief
144,True,False,True,False,Brief
145,True,False,True,False,Brief
146,True,False,True,False,Brief
147,True,False,True,False,Beilage
148,True,False,False,True,Beilage
149,True,False,True,False,Brief
150,True,False,True,False,Brief
151,True,False,False,True,Rede
152,True,False,True,False,Brief
153,True,False,True,False,Brief
154,True,False,True,False,Brief
155,True,False,True,False,Brief
156,True,False,True,False,Brief
157,True,False,True,False,Brief
158,False,False,False,False,Verweis
159,True,False,True,False,Brief
160,True,False,False,True,Brief
161,True,False,True,False,Brief
162,True,False,False,True,Brief
163,True,False,True,False,Brief
164,True,False,True,False,Brief
165,True,False,True,False,Brief
166,False,False,False,False,Verweis
167,True,False,True,False,Brief
170,True,False,True,False,Brief
171,True,False,True,False,Brief
172,True,False,True,False,Brief
173,True,False,True,False,Brief
174,True,False,False,False,Brief
175,True,False,True,False,Brief
176,True,False,True,False,Brief
177,True,False,True,False,Brief
178,True,False,True,False,Brief
179,False,False,False,False,Verweis
180,True,False,True,False,Brief
181,True,False,True,False,Brief
182,True,False,True,False,Brief
183,True,False,True,False,Brief
184,True,False,True,False,Brief
185,True,False,True,False,Brief
186,True,False,True,False,Brief
187,True,False,True,False,Brief
188,False,False,False,False,Beilage
189,True,False,True,False,Brief
190,True,False,False,True,Brief
191,True,False,True,False,Brief
192,True,False,True,False,Brief
193,True,False,True,False,Brief
194,True,False,True,False,Brief
195,False,False,False,False,Verweis
196,True,False,True,False,Brief
197,True,False,True,False,Brief
198,True,False,True,False,Brief
199,True,False,True,False,Brief
200,True,False,True,False,Beilage
201,True,False,True,False,Brief
202,True,False,True,False,Brief
203,True,False,True,False,Brief
204,True,False,True,False,Brief
205,True,False,True,False,Brief
206,False,False,False,False,Hinweis
207,True,False,True,False,Brief
208,True,False,True,False,Brief
209,True,False,True,False,Brief
210,True,False,True,False,Brief
211,True,False,True,False,Brief
212,True,False,True,False,Brief
213,True,False,True,False,Brief
214,True,False,True,False,Brief
215,True,False,True,False,Brief
216,True,False,True,False,Brief
217,True,False,True,False,Brief
218,True,False,True,False,Brief
219,True,False,True,False,Brief
220,True,False,True,False,Brief
221,True,False,True,False,Brief
222,True,False,True,False,Brief
223,True,False,True,False,Brief
224,True,False,True,False,Beilage
225,True,False,True,False,Brief
226,True,False,True,False,Brief
227,True,False,True,False,Brief
228,True,False,True,False,Brief
229,True,False,True,False,Brief
230,True,False,True,False,Brief
231,True,False,True,False,Brief
232,True,False,True,False,Brief
233,True,False,True,False,Brief
234,True,False,True,False,Brief
235,True,False,False,True,Brief
236,True,False,True,False,Brief
237,True,False,False,True,Verweis
238,True,False,True,False,Brief
239,True,False,True,False,Brief
240,True,False,True,False,Brief
241,True,False,True,False,Brief
242,True,False,True,False,Brief
243,True,False,True,False,Brief
244,True,False,True,False,Brief
245,True,False,True,False,Brief
246,True,False,True,False,Brief
247,True,False,True,False,Brief
248,True,False,True,False,Brief
249,True,False,True,False,Brief
250,True,False,True,False,Brief
251,True,False,True,False,Brief
252,True,False,True,False,Brief
253,True,False,True,False,Brief
254,True,False,True,False,Brief
255,True,False,True,False,Brief
256,False,False,False,False,Verweis
257,True,False,True,False,Brief
258,True,False,True,False,Brief
259,True,False,True,False,Brief
260,True,False,True,False,Brief
261,True,False,True,False,Brief
262,False,False,False,False,Verweis
263,True,False,True,False,Brief
264,True,False,True,False,Brief
265,True,False,True,False,Brief
266,True,False,True,False,Brief
267,True,False,True,False,Brief
270,True,False,True,False,Brief
271,True,False,True,False,Brief
272,True,False,True,False,Brief
273,True,False,True,False,Brief
274,True,False,True,False,Brief
275,True,False,True,False,Brief
276,True,False,True,False,Brief
277,True,False,True,False,Brief
278,True,False,True,False,Beilage
279,True,False,True,False,Brief
280,False,False,False,False,Verweis
281,True,False,True,False,Brief
282,True,False,True,False,Brief
283,True,False,True,False,Brief
284,True,False,True,False,Brief
285,True,False,True,False,Brief
286,True,False,True,False,Brief
287,True,False,True,False,Brief
288,True,False,True,False,Brief
289,True,False,False,True,Brief
290,True,False,True,False,Brief
291,True,False,True,False,Brief
292,True,False,True,False,Brief
293,True,False,True,False,Brief
294,True,False,True,False,Brief
295,True,False,True,False,Brief
296,True,False,True,False,Brief
297,True,False,True,False,Brief
298,True,False,True,False,Brief
299,True,False,True,False,Brief
300,True,False,True,False,Brief
301,True,False,True,False,Brief
302,True,False,True,False,Brief
303,False,False,True,False,Brief
304,True,False,True,False,Brief
305,True,False,True,False,Verweis
306,True,True,False,False,Verweis
307,False,False,False,False,Hinweis
308,True,False,True,False,Brief
309,True,False,True,False,Brief
310,True,False,False,True,Brief
311,True,False,True,False,Brief
312,True,False,True,False,Brief
313,True,False,True,False,Beilage
314,True,False,True,False,Brief
315,True,False,True,False,Brief
316,True,False,True,False,Brief
317,False,False,False,False,Hinweis
318,True,False,True,False,Brief
319,True,False,True,False,Brief
320,False,False,True,False,Brief
321,True,False,True,False,Brief
322,True,False,True,False,Brief
323,True,False,True,False,Brief
324,True,False,True,False,Brief
325,True,False,True,False,Brief
326,True,False,True,False,Brief
327,False,False,False,False,Verweis
328,False,False,False,False,Verweis
329,True,False,True,False,Brief
330,True,False,True,False,Brief
331,False,False,False,False,Verweis
332,True,False,False,True,Brief
333,True,False,True,False,Brief
334,True,False,True,False,Brief
335,True,False,True,False,Brief
336,True,False,True,False,Brief
337,True,False,True,False,Brief
338,True,False,True,False,Brief
339,True,False,True,False,Brief
340,True,False,True,False,Brief
342,True,False,False,True,Hinweis
343,True,False,True,False,Brief
344,True,False,True,False,Brief
345,True,False,True,False,Brief
346,True,False,True,False,Brief
348,True,False,True,False,Beilage
349,True,False,True,False,Brief
350,True,False,True,False,Brief
351,False,False,True,False,Brief
352,True,False,False,True,Brief
353,True,False,True,False,Brief
354,True,False,True,False,Brief
355,True,False,True,False,Brief
356,True,False,True,False,Brief
357,True,False,True,False,Brief
358,True,False,True,False,Brief
359,True,False,True,False,Brief
360,True,False,True,False,Brief
361,True,False,True,False,Brief
362,True,False,True,False,Brief
363,True,False,True,False,Brief
364,True,False,True,False,Brief
365,True,False,True,False,Brief
366,True,False,True,False,Brief
367,True,False,True,False,Brief
368,True,False,False,True,Brief
369,True,False,True,False,Brief
370,True,False,True,False,Brief
371,True,False,True,False,Brief
372,False,False,False,False,Hinweis
373,True,False,True,False,Brief
374,True,False,True,False,Brief
375,True,False,True,False,Brief
376,True,False,True,False,Brief
377,True,False,True,False,Brief
378,True,False,True,False,Brief
379,True,False,True,False,Brief
380,True,False,True,False,Brief
381,True,False,True,False,Brief
382,True,False,True,False,Brief
383,True,False,True,False,Brief
384,True,False,True,False,Brief
385,False,False,False,False,Verweis
386,False,False,False,False,Hinweis
387,False,False,False,False,Verweis
388,False,False,False,False,Verweis
389,True,False,False,True,Brief
390,False,False,False,False,Verweis
391,False,False,False,False,Verweis
392,True,False,False,True,Verweis
393,False,False,False,False,Verweis
394,True,False,True,False,Brief
395,True,False,True,False,Brief
396,True,False,True,False,Brief
397,True,False,True,False,Brief
398,True,False,True,False,Brief
399,True,False,True,False,Brief
400,True,False,True,False,Brief
401,True,False,True,False,Brief
402,True,False,True,False,Brief
403,True,False,True,False,Brief
404,True,False,True,False,Brief
405,True,False,True,False,Brief
406,False,False,False,False,Brief
407,True,False,True,False,Brief
408,True,False,True,False,Brief
409,True,False,True,False,Brief
410,False,False,False,False,Verweis
411,True,False,True,False,Begleitbrief
412,True,False,False,True,Beilage
413,True,False,True,False,Brief
414,True,False,True,False,Brief
415,True,False,False,True,NeueZeitung
416,False,False,False,False,Hinweis
417,True,False,False,True,Beilage
418,True,False,True,False,Brief
419,True,False,True,False,Brief
420,True,False,True,False,Brief
421,True,False,True,False,Brief
422,True,False,True,False,Brief
423,True,False,True,False,Brief
424,True,False,True,False,Brief
425,True,False,True,False,Brief
426,True,False,True,False,Brief
427,True,False,True,False,Brief
428,True,False,True,False,Brief
429,True,False,True,False,Brief
430,True,False,True,False,Brief
431,True,False,True,False,Brief
432,True,False,True,False,Brief
433,True,False,True,False,Brief
434,True,False,True,False,Beilage
435,True,False,True,False,Brief
436,True,False,True,False,Brief
437,True,False,True,False,Brief
438,True,False,True,False,Brief
439,True,False,True,False,Brief
440,False,False,False,False,Verweis
441,True,False,True,False,Brief
442,True,False,True,False,Brief
443,True,False,True,False,Brief
444,True,False,True,False,Beilage
445,True,False,True,False,Brief
446,True,False,True,False,Brief
447,True,False,True,False,Brief
448,False,False,False,False,Widmung
449,True,False,True,False,Brief
450,True,False,True,False,Brief
451,False,False,False,False,Verweis
452,True,False,True,False,Brief
453,True,False,True,False,Brief
454,False,False,True,False,Brief
455,True,False,True,False,Brief
456,True,False,True,False,Brief
457,True,False,True,False,Brief
458,True,False,True,False,Brief
459,True,False,True,False,Brief
460,True,False,True,False,Brief
461,True,False,True,False,Brief
462,True,False,True,False,Brief
463,True,False,True,False,Brief
464,True,False,True,False,Brief
465,True,False,True,False,Begleitbrief
466,True,False,False,True,Brief
467,True,False,True,False,Brief
468,True,False,True,False,Brief
